epoch,training_loss,validation_loss,training_acc,validation_acc
0,3098.495720088482,158.90936678647995,0.4767166666666667,0.7398
1,1055.8695740774274,57.92567232251167,0.82485,0.8854
2,613.468946095556,42.01828462257981,0.8972,0.9182
3,462.04302511084825,34.788800071924925,0.9220833333333334,0.928
4,379.0202337158844,30.41994421184063,0.9361833333333334,0.9366
5,324.43676656717435,26.872065611649305,0.9453833333333334,0.9414
6,285.4329608560074,24.561171074863523,0.9513,0.9484
7,256.0646254536696,23.385996581055224,0.9560666666666666,0.9502
8,231.8219717622269,22.005273027112707,0.9603333333333334,0.955
9,212.1266289812047,22.0949324805988,0.96395,0.956
10,195.0549726691097,21.155716676497832,0.9674,0.9572
11,181.03425704600522,20.874998460232746,0.9689666666666666,0.9596
12,167.7707707248046,19.925923603819683,0.9712,0.9616
13,155.88123515213374,20.98918820009567,0.9732833333333333,0.9612
14,145.01824938185746,19.726188014727086,0.9756166666666667,0.9618
15,134.59606507013086,19.80419369204901,0.97705,0.963
16,124.31593749288004,20.528801506268792,0.9796666666666667,0.9624
17,114.93667836178793,21.17558662383817,0.9814833333333334,0.962
18,107.89041635781177,20.528432462131605,0.9820666666666666,0.9622
19,98.95216747724044,20.87479341949802,0.9834166666666667,0.9644
20,91.85968788265018,22.623394295900653,0.98475,0.9602
21,85.193427564991,21.323290382802952,0.9858,0.9646
22,77.4812779108106,23.474394307966577,0.9875166666666667,0.9636
23,69.6628185869049,23.131408731496776,0.9886166666666667,0.9634
24,71.24610891172779,24.470292811252875,0.9881,0.9624
25,61.23925416162092,22.910541026401916,0.9899166666666667,0.9642
26,54.790494274989214,24.246577431234073,0.99085,0.9642
27,48.891569224488194,25.371224704515043,0.9925166666666667,0.9662
28,43.005316537451336,27.70335020774837,0.9934666666666667,0.9624
29,39.83075514982306,27.262505982308767,0.9939833333333333,0.9634
30,35.597925831924044,28.231410151998716,0.99455,0.9622
31,30.902897914590994,30.8847122419603,0.9957166666666667,0.9642
32,26.25751836413565,32.18547979529421,0.9963,0.9616
33,22.96943133484217,33.365763764520835,0.9969333333333333,0.9648
34,18.815093058277682,36.421896861490495,0.9975333333333334,0.961
35,18.160871399145122,36.236192056300865,0.99785,0.9646
36,14.483672390482042,39.16612076583533,0.9983333333333333,0.9618
37,11.097490050133601,38.58608959851949,0.9988833333333333,0.9632
38,10.987103573277636,41.79119491128489,0.99865,0.9626
39,10.239084412240139,39.83950920805273,0.9988833333333333,0.964
40,15.449701629164599,41.27142646019928,0.9976833333333334,0.9628
41,28.658486201783354,35.50955479963568,0.9955833333333334,0.9626
42,34.18318670538676,36.70873619131885,0.9943,0.9618
43,19.716190598030494,38.11569175885229,0.9969166666666667,0.962
44,10.02288414555763,39.542213088101164,0.9988166666666667,0.9626
45,5.505855719668496,40.511015961840585,0.9996,0.9638
46,3.4948950566033243,42.765979912103816,0.9997666666666667,0.963
47,2.6020389894468687,43.84770955227924,0.99985,0.9632
48,2.0398373121295155,45.628064156556604,0.9999,0.9622
49,1.6842737536636134,46.26881450883353,0.99995,0.9624
50,1.4412466814759535,47.378225185306654,0.99995,0.9626
51,1.2280108050560825,49.769629436147184,0.9999833333333333,0.9618
52,1.0561738426594844,48.66596122448982,0.9999833333333333,0.9622
53,0.9429585607648061,49.83281737406753,1.0,0.9626
54,0.8451020679267913,50.55386010855848,1.0,0.9628
55,0.7680742725879623,50.985999459014884,1.0,0.9624
56,0.6909550345913051,51.684768047533964,1.0,0.9622
57,0.6419454928546502,52.114877894940356,1.0,0.9622
58,0.5911015500703776,52.72377514235605,1.0,0.9624
59,0.5449367898218429,53.442647456081204,1.0,0.9624
60,0.5090116852409083,53.826531827184795,1.0,0.962
61,0.4753081065311262,54.32443861239623,1.0,0.9622
62,0.4473647823413538,54.72652423405225,1.0,0.962
63,0.4219083633081073,55.094197579170306,1.0,0.962
64,0.39651761464056645,55.48084368371721,1.0,0.9622
65,0.37623750782788834,55.80871081181316,1.0,0.9622
66,0.35681307220354763,56.28693964773678,1.0,0.9624
67,0.33999320543106104,56.72525107408232,1.0,0.962
68,0.32331205142535957,56.87168309774372,1.0,0.9618
69,0.3092277473684728,57.26281032057004,1.0,0.9622
70,0.2953180293085571,57.53728751031968,1.0,0.962
71,0.28145331296804366,57.89107754387262,1.0,0.962
72,0.27115410830789966,58.1898736714072,1.0,0.9622
73,0.2607703648575723,58.472172942965095,1.0,0.9622
74,0.250281424968279,60.68737094879663,1.0,0.9622
75,0.2411586773566441,59.027720240879205,1.0,0.962
76,0.23170875596458385,59.2261264867538,1.0,0.9626
77,0.22420715517616174,59.54913792733298,1.0,0.9622
78,0.21685275421983863,59.799307478355715,1.0,0.9628
79,0.2089192918047995,59.952306226301204,1.0,0.9626
80,0.20261687102914894,60.22364775524702,1.0,0.962
81,0.19567309943440336,60.4259247101277,1.0,0.9622
82,0.18955862995636807,60.683624032722335,1.0,0.9628
83,0.18390383891567263,61.02306642677702,1.0,0.9624
84,0.17859838092680902,61.16315783652562,1.0,0.9622
85,0.17346253124230127,62.74517247160085,1.0,0.9626
86,0.16836740355324165,61.53900693806147,1.0,0.9624
87,0.16371418823881623,61.68120472319609,1.0,0.9628
88,0.15949970698197657,61.945187432550995,1.0,0.9624
89,0.15518717447494512,62.07613930423928,1.0,0.9624
90,0.15129490373685717,62.3494124448316,1.0,0.9626
91,0.1474805826674861,62.44439397001594,1.0,0.9626
92,0.14369436517466028,63.57563730131401,1.0,0.9626
93,0.1403090072434383,62.80033315129542,1.0,0.9626
94,0.13714190951201122,62.95756465348812,1.0,0.9624
95,0.13376389476751793,63.10872558060108,1.0,0.9628
96,0.13028711738310883,65.7129067940997,1.0,0.9622
97,0.1276703510684245,63.48705604917865,1.0,0.9622
98,0.12495652668372625,65.5754772988829,1.0,0.9626
99,0.12228083626825303,63.728545530624864,1.0,0.9624
