epoch,training_loss,validation_loss,training_acc,validation_acc
0,1207.9887160658836,110.15146172046661,0.43934,0.5202
1,982.110212624073,86.08463150262833,0.55298,0.6146
2,793.1927645802498,82.82291507720947,0.64088,0.6368
3,688.7833086848259,75.22422295808792,0.69022,0.6752
4,596.4440571069717,74.31575471162796,0.73094,0.679
5,519.2835909128189,69.61187016963959,0.76538,0.7024
6,447.9921108186245,75.30430123209953,0.79782,0.7038
7,377.4823289215565,69.43716162443161,0.83068,0.7202
8,316.03027737140656,82.0530396103859,0.85708,0.7024
9,266.3551973477006,85.80797225236893,0.88014,0.71
10,216.56208856403828,83.73477762937546,0.9016,0.7228
11,184.83951726183295,87.89470221858937,0.91624,0.7174
12,157.93256236426532,98.72630560398102,0.92824,0.709
13,133.0150036867708,106.14113223552704,0.94138,0.7072
14,121.48380161263049,105.14053478837013,0.94572,0.7022
15,115.24627331271768,103.44407194852829,0.94918,0.7156
16,100.19200047198683,109.5902434270829,0.95496,0.711
17,93.14129407983273,110.70252710580826,0.95924,0.729
18,86.5850690472871,117.33780759572983,0.96188,0.707
19,83.21481201425195,119.14083790779114,0.96346,0.7184
20,78.54631571704522,117.63771232962608,0.96556,0.718
21,75.78265025746077,133.04143279790878,0.96728,0.7116
22,71.51605821750127,118.48785591125488,0.9692,0.7124
23,72.91117648594081,121.38889640569687,0.96836,0.7228
24,66.1204454783583,119.00657254457474,0.97186,0.7168
25,63.49802798498422,125.48255115747452,0.974,0.7178
26,72.16658814717084,119.93119955062866,0.96998,0.7124
27,59.44651200401131,134.12204855680466,0.97424,0.7056
28,59.2969622380333,134.95200937986374,0.97528,0.7128
29,61.50774102832656,120.91590374708176,0.97466,0.7134
30,50.69748032151256,128.19176709651947,0.97812,0.715
31,57.70958366279956,129.52217531204224,0.97602,0.7122
32,55.54993756383192,123.75446619652212,0.97606,0.714
33,54.25049530167598,127.54421323537827,0.97684,0.7038
34,47.639579474693164,147.47663187980652,0.97948,0.702
35,49.69663412729278,126.14214074611664,0.97968,0.7034
36,50.409899235120974,126.32966846227646,0.97826,0.72
37,45.469595249625854,130.6616159081459,0.98086,0.7176
38,47.05362697748933,126.40504086017609,0.98096,0.7144
39,49.054562998353504,135.83327847719193,0.97944,0.7174
40,40.49539711722173,140.41172766685486,0.98376,0.7076
41,44.79044985224027,135.87000143527985,0.9814,0.7122
42,45.140961565310135,131.66580271720886,0.98204,0.7092
43,42.46904856985202,129.40026849508286,0.98286,0.7038
44,43.9929507302586,138.72543823719025,0.98156,0.7062
45,40.867747966054594,129.5025496482849,0.98254,0.6984
46,39.082263930744375,134.80928629636765,0.98446,0.7122
47,39.48674207745353,143.97624969482422,0.98428,0.7052
48,38.374631615995895,138.1329938173294,0.98436,0.7054
49,40.707147062319564,134.84861606359482,0.98316,0.7146
50,32.696386635361705,150.11044013500214,0.98614,0.7086
51,36.56728533337446,157.7127487063408,0.98504,0.7168
52,40.411070094662136,129.06883001327515,0.98412,0.7078
53,37.53417319248547,128.69232273101807,0.98472,0.7212
54,32.131360427407344,141.13698202371597,0.98698,0.7284
55,35.25391111007775,141.01927652955055,0.98538,0.7148
56,37.447540879191365,141.64789777994156,0.98472,0.7156
57,33.27013203954266,136.86385530233383,0.98704,0.7196
58,33.42022005611216,130.39657247066498,0.98594,0.7072
59,32.45224610081641,132.17626523971558,0.9873,0.72
60,34.07049507345073,141.54192501306534,0.98586,0.7224
