epoch,training_loss,validation_loss,training_acc,validation_acc
0,1735.3989276885986,151.29914367198944,0.21372,0.2876
1,1374.6073648929596,128.56273710727692,0.35196,0.3986
2,1242.4701808691025,120.38952386379242,0.4165,0.4444
3,1173.8838255405426,117.56855762004852,0.45222,0.4526
4,1125.7083255052567,113.47367084026337,0.47704,0.487
5,1080.8424019217491,114.61066192388535,0.49546,0.4688
6,1045.4228519797325,108.0611732006073,0.5156,0.5018
7,1007.1415860652924,107.61415529251099,0.53288,0.5092
8,973.2923239469528,108.37999308109283,0.54888,0.5124
9,946.0032360553741,104.77456879615784,0.5627,0.532
10,916.2578191757202,104.18757671117783,0.57706,0.5226
11,888.3725495934486,102.38791888952255,0.59074,0.54
12,861.6683795452118,102.74807894229889,0.60038,0.5496
13,835.0162879824638,104.80848461389542,0.61542,0.5314
14,808.4509204030037,104.88108152151108,0.62518,0.5422
15,783.5242394804955,104.52772444486618,0.6386,0.532
16,760.1194996833801,107.33666080236435,0.65308,0.5448
17,741.5347855687141,105.90538334846497,0.65772,0.5418
18,719.0770481228828,109.29007863998413,0.66804,0.5552
19,698.5972015559673,110.98216342926025,0.67606,0.5316
20,679.8891696929932,110.50825119018555,0.68842,0.5362
21,658.7254301011562,113.77769541740417,0.69692,0.5408
22,643.5537488758564,113.29202365875244,0.70154,0.54
23,626.374902844429,116.92425334453583,0.70908,0.5378
24,611.438626229763,116.5677894949913,0.71672,0.5398
25,592.3228502571583,116.67399322986603,0.72512,0.541
26,583.7325950264931,117.13105297088623,0.73074,0.5362
27,561.4665469527245,123.72826784849167,0.7402,0.5466
28,548.8006077706814,120.41257882118225,0.74472,0.5366
29,535.5935705602169,127.54009771347046,0.75102,0.5316
30,524.8284157514572,129.66955733299255,0.7565,0.523
31,510.1844138801098,131.7128884792328,0.76326,0.5342
32,501.2990895807743,130.07311356067657,0.76828,0.5236
33,491.4797858297825,133.21793174743652,0.77316,0.5248
34,481.6943030357361,136.94171404838562,0.77506,0.5318
35,461.90793374180794,137.98759329319,0.78714,0.5336
36,453.2782960534096,141.64913594722748,0.78818,0.5208
37,446.10250037908554,143.78209364414215,0.79388,0.5284
38,434.3955530822277,143.5009641647339,0.7973,0.532
39,432.8529544174671,145.6808079481125,0.79778,0.5266
40,424.4633366316557,144.53814244270325,0.80224,0.5252
41,411.805542960763,145.9933841228485,0.80952,0.5308
42,405.16076323390007,151.68485832214355,0.81316,0.5302
43,401.3878208398819,149.75223636627197,0.81208,0.5252
44,396.1967184096575,145.94960224628448,0.81724,0.531
45,380.2348144352436,155.27787697315216,0.82276,0.5278
46,379.5995030552149,158.1622508764267,0.82438,0.5242
47,368.78479509055614,158.83186101913452,0.82852,0.5152
48,363.7571493834257,156.54381501674652,0.82978,0.5252
49,353.0828425884247,163.11999547481537,0.83808,0.528
50,349.58987587690353,163.18231534957886,0.83734,0.5308
51,345.298995167017,168.38003885746002,0.83998,0.5202
52,344.367129817605,167.3939288854599,0.84024,0.5266
53,330.6950305402279,170.02254223823547,0.84624,0.525
54,325.7381413280964,165.19612514972687,0.84838,0.52
55,321.61449843645096,171.3270387649536,0.85134,0.5352
56,316.80227403342724,174.54496049880981,0.85472,0.5144
57,308.93190386891365,180.46347379684448,0.8553,0.5202
58,306.3277797847986,174.81633985042572,0.85674,0.5268
59,300.8216988220811,171.36526465415955,0.85992,0.5214
60,298.56935304403305,175.56362104415894,0.86126,0.5264
61,298.4064644128084,171.74038696289062,0.86036,0.525
62,286.17824453115463,173.37471544742584,0.86788,0.5262
63,288.1465575993061,178.32530975341797,0.86736,0.5234
64,283.42818382382393,183.34896218776703,0.86902,0.5142
65,274.3692617416382,175.70098304748535,0.87276,0.535
66,273.26391361653805,188.4576085805893,0.87358,0.5244
67,270.9142181649804,188.79411101341248,0.87368,0.5188
68,264.12234276533127,183.54099130630493,0.87602,0.522
69,256.59283903986216,182.72915184497833,0.88058,0.5218
70,258.023353934288,187.55422806739807,0.8795,0.5222
71,256.97802863270044,194.71335113048553,0.88082,0.5192
72,252.88805308192968,194.9694973230362,0.88216,0.5194
73,248.67645826935768,189.32766556739807,0.88396,0.5192
74,250.65189666301012,190.66339027881622,0.8837,0.5186
75,250.23475904762745,190.85971704125404,0.88418,0.5162
76,235.37726814299822,198.3149789571762,0.8922,0.5134
77,241.97451043128967,195.7644225358963,0.88792,0.5344
78,241.13408040627837,182.74792897701263,0.88784,0.5174
79,232.62572459876537,192.7335340976715,0.89186,0.5156
80,233.88705386966467,196.4958120584488,0.8909,0.5132
81,232.46410154551268,191.39067149162292,0.89408,0.5264
82,219.87641203403473,197.07775089144707,0.89876,0.5286
83,220.8825215175748,195.27367770671844,0.89852,0.5172
84,217.83774512261152,202.00128185749054,0.8991,0.5296
85,219.89095257222652,207.7421065568924,0.89854,0.5176
86,219.80504444986582,205.4142689704895,0.89872,0.5164
87,201.97036039829254,209.6796669960022,0.90592,0.525
