epoch,training_loss,validation_loss,training_acc,validation_acc
0,1775.4791095256805,148.2673110961914,0.22144,0.318
1,1338.0773260593414,125.22083961963654,0.37216,0.4214
2,1206.0139170885086,117.69949316978455,0.43726,0.4464
3,1129.45676612854,115.48401045799255,0.47476,0.4768
4,1072.1454923152924,109.8138188123703,0.50416,0.5006
5,1021.4143572449684,106.76867151260376,0.52794,0.5158
6,977.1821070313454,106.84792935848236,0.55254,0.5182
7,936.9583240151405,106.84895479679108,0.5719,0.5236
8,888.8726564049721,103.56152749061584,0.59296,0.5364
9,845.6296283602715,102.00015825033188,0.61302,0.544
10,803.2671115398407,105.24010437726974,0.63396,0.5418
11,766.7602978944778,102.97716397047043,0.65042,0.5424
12,721.5970171689987,106.83615916967392,0.67008,0.56
13,681.8325773477554,105.73027974367142,0.69,0.5536
14,643.1454699039459,109.56651759147644,0.70576,0.5402
15,609.5155936777592,107.63865226507187,0.72278,0.5564
16,571.972255140543,113.11471229791641,0.73956,0.5496
17,534.9504637122154,115.88307404518127,0.7562,0.5486
18,508.4111810028553,119.84025800228119,0.77044,0.545
19,478.0642812848091,121.77392971515656,0.78378,0.5456
20,452.0038520991802,123.68362212181091,0.79284,0.5456
21,426.51826015114784,128.26437303423882,0.80626,0.55
22,403.41762936115265,125.64281332492828,0.8154,0.541
23,383.2439231425524,135.01377749443054,0.82544,0.5466
24,362.3526825904846,140.32621431350708,0.83472,0.5394
25,339.5242920964956,137.95560228824615,0.844,0.5514
26,327.777468919754,146.497171998024,0.84964,0.539
27,307.7266450673342,151.93829119205475,0.858,0.5454
28,293.55897557735443,153.8496522307396,0.86644,0.531
29,283.5690305903554,151.3562971353531,0.87066,0.5458
30,275.04425921291113,158.27912187576294,0.87306,0.5438
31,259.994372099638,158.13911473751068,0.88118,0.551
32,250.7289569452405,167.25694692134857,0.88664,0.541
33,240.50449647009373,171.16660940647125,0.89006,0.5526
34,231.48727721720934,174.34959530830383,0.89436,0.5354
35,225.63569838553667,180.05961048603058,0.89722,0.5462
36,216.78035681694746,174.42362260818481,0.90104,0.549
37,216.817228641361,180.08723843097687,0.90302,0.5476
38,205.85237695276737,174.02153372764587,0.9069,0.5446
39,197.15819788724184,185.39379119873047,0.91038,0.5408
40,198.2970879226923,184.37192857265472,0.91014,0.544
41,183.30183509737253,183.56568098068237,0.91582,0.5462
42,183.93667389824986,184.95954084396362,0.91606,0.5474
43,186.21201392263174,189.85146284103394,0.9143,0.5432
44,172.65657744556665,197.821923494339,0.92206,0.5394
45,174.4880644083023,190.97522461414337,0.9201,0.5372
46,170.19298034906387,191.89396035671234,0.92236,0.5492
47,162.35889422520995,195.52531683444977,0.92544,0.5414
48,162.12788194045424,199.74829876422882,0.92596,0.5398
49,159.72936075925827,195.6176496744156,0.92746,0.5474
50,151.2061181589961,195.55555999279022,0.9314,0.5524
51,159.0476679727435,198.29026591777802,0.92848,0.5388
52,148.37806192412972,192.58892452716827,0.93248,0.5524
53,146.78833532705903,199.40943837165833,0.93266,0.5428
54,145.63668000884354,201.5131632089615,0.93372,0.5454
55,140.9005387276411,216.61219429969788,0.93604,0.5422
56,146.14783834852278,199.69713497161865,0.93486,0.5438
57,134.46460902690887,208.12305235862732,0.93952,0.545
58,141.66961616277695,204.07758283615112,0.93676,0.5454
59,137.11044024303555,212.39384615421295,0.93762,0.5412
60,135.60928838327527,201.32587295770645,0.9388,0.5598
61,128.11767219379544,207.16996467113495,0.94224,0.5422
62,132.78435913473368,219.08151805400848,0.9408,0.5442
63,126.1436424581334,207.77636444568634,0.94296,0.5476
64,125.70529045257717,215.34336085803807,0.94398,0.5464
65,125.18748044036329,214.4179800748825,0.94274,0.542
66,126.1940481159836,205.81772756576538,0.944,0.5392
67,124.70740788988769,206.4598091840744,0.94348,0.5408
68,119.955577140674,207.30767250061035,0.94686,0.5434
69,117.60622978024185,206.05781863629818,0.94636,0.5456
70,121.12997345253825,206.47064173221588,0.94538,0.553
71,111.37903286889195,223.0901311635971,0.95122,0.557
72,110.63952609803528,221.84642362594604,0.95054,0.5492
73,119.34456399548799,205.67017495632172,0.94668,0.5518
74,115.60983333364129,209.62915909290314,0.9477,0.553
75,108.10905263759196,221.03233015537262,0.95124,0.5424
76,109.65458405576646,217.05735838413239,0.95138,0.5476
77,111.86004482768476,220.80592250823975,0.95044,0.5468
78,111.21140232123435,206.14738178253174,0.9504,0.5462
79,103.70189413614571,210.85269421339035,0.95336,0.558
80,105.98236585548148,230.55555868148804,0.95294,0.543
81,100.41127472370863,212.07657825946808,0.95434,0.5484
82,106.64709888678044,216.52096021175385,0.95176,0.5516
83,108.15113660506904,212.8712887763977,0.95124,0.5498
84,100.9944414915517,220.1892032623291,0.9552,0.5394
85,99.67776510864496,217.08030474185944,0.956,0.5484
86,99.84971117880195,216.9946105480194,0.95528,0.5482
87,100.01102481409907,212.1525559425354,0.95512,0.549
88,101.99544639326632,220.01772487163544,0.95466,0.5568
89,98.50573853868991,215.32751870155334,0.9563,0.5382
90,97.4052089098841,219.1761012673378,0.95674,0.5416
91,94.19198658131063,224.90899348258972,0.95756,0.5436
92,93.64498886838555,219.63490438461304,0.95862,0.547
93,93.0418441798538,228.32178711891174,0.95686,0.5486
94,93.12976477481425,222.03308606147766,0.95826,0.5492
95,93.75865486264229,217.2903287410736,0.95746,0.5382
96,94.59507487993687,230.15175819396973,0.9583,0.5476
97,92.8017811672762,215.89742493629456,0.95854,0.561
98,89.5135835763067,227.39512598514557,0.96026,0.5492
99,86.78254899289459,229.71159946918488,0.96188,0.5482
