epoch,training_loss,validation_loss,training_acc,validation_acc
0,1097.1479369401932,99.76958727836609,0.49094,0.5598
1,870.2473672032356,81.43776160478592,0.60402,0.6394
2,706.2975806593895,72.97188150882721,0.68082,0.673
3,609.7513286173344,73.30368015170097,0.72398,0.6778
4,513.8126762509346,70.46708756685257,0.76756,0.7032
5,429.2174822539091,71.77905201911926,0.80578,0.7044
6,345.09150044620037,78.32548360526562,0.84504,0.6928
7,272.3198311775923,78.83220678567886,0.8784,0.706
8,211.64152643829584,88.28487813472748,0.90482,0.7072
9,163.75470236688852,95.83444565534592,0.92706,0.714
10,137.1507012732327,107.43945252895355,0.93872,0.709
11,120.82287380564958,113.14727747440338,0.94592,0.702
12,102.50543250609189,113.4568423628807,0.95418,0.71
13,90.63096498604864,124.95629531145096,0.96052,0.6986
14,85.53414946096018,126.79090476036072,0.96254,0.7056
15,81.31527991499752,114.82403481006622,0.96516,0.7016
16,69.65265025454573,133.67357355356216,0.97026,0.6932
17,69.62009391514584,128.76156654953957,0.96994,0.7136
18,62.90088996011764,125.76390680670738,0.97266,0.7166
19,61.123099906835705,137.0853140950203,0.97326,0.7086
20,63.43560002790764,139.70863991975784,0.97294,0.7096
21,54.635800230898894,142.87727493047714,0.9766,0.7124
22,56.47721705667209,135.60578376054764,0.976,0.7084
23,52.56599393277429,156.08969628810883,0.9771,0.6924
24,50.13651714520529,153.7669604420662,0.978,0.705
25,53.70216261316091,145.23981672525406,0.9772,0.7144
26,45.87291120609734,147.5063436627388,0.98042,0.7116
27,51.44057648658054,139.05830258131027,0.97864,0.6948
28,46.22905343581806,145.0866276025772,0.98092,0.7048
29,44.988631804531906,144.14756226539612,0.98124,0.7036
30,42.108411937369965,156.03453415632248,0.98282,0.6922
31,45.336010468250606,134.20483049750328,0.98124,0.712
32,37.65197227583849,142.79483264684677,0.98518,0.714
33,38.85568851407152,147.11955678462982,0.98346,0.7078
34,43.11904483960825,141.07329279184341,0.98248,0.703
35,40.103285052930005,144.44940567016602,0.9826,0.705
36,34.925917216343805,151.84471982717514,0.98544,0.7208
37,36.23263717838563,154.83484679460526,0.98466,0.7014
38,35.918895690643694,152.71643030643463,0.98538,0.6978
39,35.77715678943787,139.97112894058228,0.98542,0.7098
40,30.933113434148254,158.29521822929382,0.98638,0.7116
41,35.81155166264216,169.49975621700287,0.9854,0.699
42,35.77125812875602,147.41071093082428,0.9855,0.7034
43,31.84388516371837,156.25301510095596,0.98728,0.7046
44,31.174724239383067,154.7748960852623,0.98706,0.7076
45,30.229731885250658,173.22105807065964,0.98744,0.6934
46,34.40041828493122,168.5567477941513,0.98626,0.7088
47,31.536008847382618,154.04376171529293,0.98708,0.7088
48,29.419037586121703,162.79665577411652,0.98854,0.6976
49,29.257883699960075,163.31631207466125,0.98776,0.7052
50,27.901294419920305,162.8741117119789,0.98832,0.7124
51,30.148371297414997,160.00685077905655,0.988,0.7094
52,27.931178042825195,163.84342682361603,0.98926,0.7064
53,31.443337065924425,162.33626455068588,0.98744,0.7056
54,24.902412238618126,161.70209443569183,0.99018,0.704
55,28.402476403760375,159.71508717536926,0.9892,0.7036
56,24.70124104185743,175.61102575063705,0.98968,0.7084
57,28.05973016678763,153.39338117837906,0.98914,0.706
58,22.714160805609936,170.91813564300537,0.99072,0.7014
59,27.735939734418935,169.44314789772034,0.989,0.7078
60,24.957983623142354,171.70272877812386,0.98958,0.7064
61,24.064490395950997,161.00569373369217,0.99104,0.705
62,21.817047407414066,177.57421970367432,0.99102,0.706
63,26.16531356087944,173.0127762556076,0.98948,0.7014
64,23.719162702342146,178.16129261255264,0.9909,0.712
65,29.139559360464773,155.90531766414642,0.98834,0.7068
66,21.107269315565645,181.5911567211151,0.99134,0.7144
67,20.97155386040322,163.8289251923561,0.99176,0.7136
68,19.755949042952125,189.0235133767128,0.99184,0.708
69,21.879596601494995,169.0249843597412,0.99168,0.705
70,24.38709877286965,180.10902559757233,0.99012,0.707
71,22.534831113211112,182.6398587822914,0.9907,0.7032
72,26.261293343377474,179.3194226026535,0.98952,0.6964
73,19.182309233372507,164.94239926338196,0.9924,0.714
74,21.445856467893464,165.5645124912262,0.9916,0.705
75,21.452378683032293,158.01377791166306,0.99158,0.7206
76,21.02802037836227,167.11342978477478,0.99192,0.7096
77,21.042932393094816,167.5874207019806,0.99186,0.7128
78,19.501520684028947,182.36514925956726,0.99264,0.7044
79,22.168404465919593,161.32810193300247,0.99178,0.717
80,18.506405643107428,182.5679007768631,0.9926,0.706
81,21.267452698857596,171.3131651878357,0.99192,0.7038
82,21.479508665026515,170.07623094320297,0.99204,0.71
83,14.25146591331577,180.46872305870056,0.99424,0.7188
84,28.983633404259308,156.58086827397346,0.98872,0.7086
85,15.38304845193852,176.7582876086235,0.99362,0.7072
86,20.49790549142199,173.31990039348602,0.992,0.7048
87,19.002597166101623,181.57626581192017,0.99258,0.715
88,20.47027919318498,175.409018099308,0.99184,0.7078
89,15.55334564622899,176.68070542812347,0.99386,0.7016
90,17.943772868136875,176.883021235466,0.99304,0.6978
91,16.625226170404858,167.26894319057465,0.99376,0.712
92,19.265545223439403,163.29253149032593,0.99282,0.7082
93,18.3781775052139,168.8420206308365,0.99286,0.7068
94,16.25883319903187,173.22654724121094,0.99382,0.7148
95,17.663723625264538,179.60461086034775,0.99326,0.7144
96,20.596534077662,183.57106571797704,0.9921,0.703
97,17.059919319030087,171.68412655591965,0.99346,0.7152
98,15.278484137015766,181.67951065301895,0.99384,0.7198
99,16.47161657468496,173.46710205078125,0.99394,0.698
