epoch,training_loss,validation_loss,training_acc,validation_acc
0,1609.648443222046,209.28957796096802,0.22874,0.2798
1,1554.6116517782211,183.3966064453125,0.2337,0.1258
2,1579.7760372161865,152.99460649490356,0.20938,0.235
3,1686.0462362766266,182.39532017707825,0.16572,0.113
4,1773.8943749666214,173.48296356201172,0.13074,0.1444
5,1.650327490760068e+17,182.34240293502808,0.13072,0.0992
6,1804.3494229316711,182.20226740837097,0.098,0.1038
7,1804.1339960098267,182.25694870948792,0.0976,0.1
8,1804.4207322597504,182.41401934623718,0.10008,0.1038
9,1803.5453145503998,182.09102296829224,0.1004,0.0956
10,1802.637642621994,182.02448678016663,0.09936,0.0982
11,1802.0374383926392,181.95109128952026,0.09882,0.0974
12,1801.7151191234589,182.01430344581604,0.09748,0.0956
13,1801.4681630134583,181.94188618659973,0.09984,0.0974
14,1801.2016189098358,181.94584274291992,0.10028,0.0992
15,1801.213755607605,181.93733096122742,0.09886,0.0956
16,1801.170092344284,181.92128324508667,0.10096,0.1002
17,1801.1541740894318,181.90061116218567,0.09596,0.1002
18,1801.1861221790314,181.96408677101135,0.09808,0.0956
19,1801.0115926265717,181.9796724319458,0.099,0.1002
20,1801.1415061950684,181.9176685810089,0.10036,0.104
21,1801.0232408046722,181.937495470047,0.09944,0.1
22,1801.0938906669617,181.89439368247986,0.09696,0.1002
23,1801.0388581752777,181.90454530715942,0.09756,0.0982
24,1801.0093095302582,181.90735244750977,0.10058,0.1
25,1801.0498192310333,181.925630569458,0.09678,0.0982
26,1801.0735640525818,181.89543676376343,0.09622,0.0982
27,1800.9805779457092,181.9770061969757,0.0994,0.0956
28,1801.0345585346222,181.93527817726135,0.0989,0.0954
29,1801.0320961475372,181.9995243549347,0.09846,0.1
30,1801.0833740234375,181.92142391204834,0.0984,0.1002
31,1801.0890924930573,181.918377161026,0.09832,0.1038
32,1801.0488352775574,181.93048691749573,0.09684,0.1
33,1801.018296957016,181.95019030570984,0.09852,0.1038
34,1801.0239062309265,181.9248595237732,0.09954,0.0956
35,1800.9616503715515,181.89321780204773,0.10172,0.1062
36,1801.0357549190521,181.89142036437988,0.09722,0.1062
37,1800.9797353744507,181.89125514030457,0.09734,0.104
38,1801.06094288826,181.9541425704956,0.09884,0.1002
39,1801.074523448944,181.95253086090088,0.09792,0.0974
40,1800.9953026771545,181.89745044708252,0.09858,0.1
41,1801.1008806228638,182.0228099822998,0.1006,0.0974
42,1800.9658691883087,182.09779620170593,0.09708,0.1
43,1801.0764389038086,181.9303879737854,0.0991,0.1038
44,1800.9982860088348,181.95522928237915,0.09874,0.0982
45,1800.9683640003204,182.02379655838013,0.09946,0.0956
46,1801.0121521949768,181.95648431777954,0.1001,0.1
47,1801.0328087806702,181.9198522567749,0.09838,0.1
48,1801.0173091888428,181.94404006004333,0.10106,0.0954
49,1800.9608898162842,181.94466066360474,0.09796,0.0954
50,1801.0786249637604,181.8921024799347,0.10108,0.104
51,1800.999757528305,181.91955614089966,0.09806,0.1038
52,1801.0703070163727,181.88396096229553,0.09844,0.1062
53,1801.0612888336182,181.9041166305542,0.099,0.1002
54,1801.0444331169128,182.00106287002563,0.09596,0.0982
55,1801.0865488052368,181.94386863708496,0.09838,0.1002
56,1800.9828114509583,181.93061304092407,0.10072,0.1002
57,1800.9943189620972,181.93216466903687,0.09906,0.0956
58,1801.0950741767883,181.9524576663971,0.09716,0.0982
59,1801.040279865265,181.97102117538452,0.0996,0.1002
60,1801.0585632324219,181.95867133140564,0.09896,0.0982
61,1801.0079295635223,181.9465193748474,0.09978,0.0992
62,1800.9968996047974,181.9042272567749,0.09674,0.0956
63,1801.010632276535,181.8827941417694,0.0998,0.1
64,1800.9401626586914,181.91697120666504,0.0982,0.0954
65,1801.0471816062927,181.920640707016,0.10146,0.0954
66,1801.1200778484344,181.913391828537,0.09898,0.104
67,1800.994693994522,181.9140772819519,0.09964,0.0974
68,1801.0041632652283,181.91520261764526,0.0995,0.0974
69,1801.0428092479706,181.89716339111328,0.0993,0.1002
70,1801.0360083580017,181.93050408363342,0.09962,0.0974
71,1800.9954941272736,181.88632988929749,0.10188,0.104
72,1800.8703870773315,182.10573434829712,0.0992,0.1038
73,1801.0708956718445,181.90890264511108,0.0975,0.0982
74,1801.0657267570496,181.91305875778198,0.09754,0.1038
75,1801.0174572467804,181.8950011730194,0.10098,0.1062
76,1800.9866824150085,181.96144342422485,0.09834,0.104
77,1800.9548752307892,181.9620716571808,0.10186,0.0974
78,1801.0325787067413,181.90053534507751,0.0995,0.1038
79,1800.9876544475555,181.91690945625305,0.0988,0.0974
80,1800.9930670261383,181.92365431785583,0.10142,0.0992
81,1800.9715905189514,181.90924906730652,0.09804,0.0992
82,1801.0035104751587,181.91109085083008,0.09786,0.0992
83,1801.1342117786407,181.92110228538513,0.10144,0.0982
84,1801.0319859981537,181.89991521835327,0.09932,0.1062
85,1801.015320777893,181.90804982185364,0.09882,0.1002
86,1800.9471430778503,181.9055953025818,0.0987,0.0992
87,1800.9913320541382,181.94191455841064,0.09902,0.0992
88,1801.006020307541,181.938143491745,0.09916,0.0974
89,1801.0478084087372,181.947651386261,0.09968,0.1002
90,1801.0628130435944,182.0092270374298,0.10024,0.0982
91,1801.0398905277252,181.9109013080597,0.09878,0.1062
92,1801.0434129238129,181.96397352218628,0.10008,0.1
93,1801.0382606983185,181.95139813423157,0.09948,0.0956
94,1800.9550650119781,182.01017475128174,0.10012,0.104
95,1801.059245109558,181.92851996421814,0.09922,0.1038
96,1801.0198996067047,181.94006633758545,0.10046,0.1002
97,1800.985748052597,182.0834503173828,0.10004,0.0954
98,1801.0713868141174,181.9409055709839,0.09856,0.0982
99,1800.9403791427612,181.91763544082642,0.10004,0.1038
